,ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,cellchat_pvals
9403,App,App,0.8473282442748091,0.3108438459782189,7.3557024,Lrp6,Lrp6,0.7596899224806202,0.41505696282373694,Mesothelium,Neuronal-like cells,0.2051100645719709,0.0
7020,App,App,0.7634408602150538,0.2789395823655425,7.3557024,Lrp6,Lrp6,0.8320610687022901,0.4528270680342429,ASPC,Mesothelium,0.2016750686708707,0.0
2599,App,App,0.7364341085271318,0.23345652178986342,7.3557024,Lrp6,Lrp6,0.9781386891478635,0.5379848437633905,Neuronal-like cells,Adipocytes,0.2007622431519207,0.0
194,App,App,0.7634408602150538,0.2789395823655425,7.3557024,Lrp6,Lrp6,0.8225806451612904,0.4442895423131013,ASPC,ASPC,0.19862797336654167,0.0
2763,App,App,0.7322580645161291,0.2297337791340427,7.3557024,Lrp6,Lrp6,0.9781386891478635,0.5379848437633905,SMCs & Pericytes,Adipocytes,0.1981953510468036,0.0
4300,Vegfa,Vegfa,0.8187866765848417,0.32496960412876263,7.3557024,Nrp1,Nrp1,0.8367346938775511,0.37845167478649394,Adipocytes,Endothelial cells,0.19741283257621073,0.0
1994,Vegfa,Vegfa,0.8187866765848417,0.32496960412876263,7.3557024,Nrp1,Nrp1,0.8303578808165964,0.36317238112719374,Adipocytes,Adipocytes,0.19096467396543726,0.0
8411,App,App,0.7634408602150538,0.2789395823655425,7.3557024,Lrp6,Lrp6,0.7596899224806202,0.41505696282373694,ASPC,Neuronal-like cells,0.1880161787529321,0.0
6621,App,App,0.7364341085271318,0.23345652178986342,7.3557024,Lrp6,Lrp6,0.9199491740787802,0.49539881496375027,Neuronal-like cells,Immune cells,0.1878556273738998,0.005
2063,App,App,0.6150375939849624,0.2116366360331559,7.3557024,Lrp6,Lrp6,0.9781386891478635,0.5379848437633905,Adipocytes_2,Adipocytes,0.18547845255576353,0.0
6825,App,App,0.7322580645161291,0.2297337791340427,7.3557024,Lrp6,Lrp6,0.9199491740787802,0.49539881496375027,SMCs & Pericytes,Immune cells,0.18541547261675556,0.0
414,Vegfa,Vegfa,0.8187866765848417,0.32496960412876263,7.3557024,Nrp1,Nrp1,0.8104838709677419,0.3487234546424983,Adipocytes,ASPC,0.18477089820286682,0.249
5838,Vegfa,Vegfa,0.8187866765848417,0.32496960412876263,7.3557024,Nrp1,Nrp1,0.7966963151207116,0.3437567134918611,Adipocytes,Immune cells,0.18261986051624135,0.588
5181,App,App,0.7364341085271318,0.23345652178986342,7.3557024,Lrp6,Lrp6,0.8786848072562359,0.4782303317296367,Neuronal-like cells,Endothelial cells,0.18253367423461045,0.046
11065,App,App,0.7364341085271318,0.23345652178986342,7.3557024,Lrp6,Lrp6,0.8725806451612903,0.472722732105469,Neuronal-like cells,SMCs & Pericytes,0.18081159934566474,0.071
5415,App,App,0.7322580645161291,0.2297337791340427,7.3557024,Lrp6,Lrp6,0.8786848072562359,0.4782303317296367,SMCs & Pericytes,Endothelial cells,0.1801473149868934,0.002
11258,App,App,0.7322580645161291,0.2297337791340427,7.3557024,Lrp6,Lrp6,0.8725806451612903,0.472722732105469,SMCs & Pericytes,SMCs & Pericytes,0.1784428392527272,0.004
2169,App,App,0.6218820861678005,0.1988029515832529,7.3557024,Lrp6,Lrp6,0.9781386891478635,0.5379848437633905,Endothelial cells,Adipocytes,0.17621295105133886,0.0
7926,App,App,0.7364341085271318,0.23345652178986342,7.3557024,Lrp6,Lrp6,0.8320610687022901,0.4528270680342429,Neuronal-like cells,Mesothelium,0.1745298644256432,0.218
4767,Vegfa,Vegfa,0.7522236340533672,0.2791651325979873,7.3557024,Nrp1,Nrp1,0.8367346938775511,0.37845167478649394,Immune cells,Endothelial cells,0.17444138143201873,0.994
5932,App,App,0.6150375939849624,0.2116366360331559,7.3557024,Lrp6,Lrp6,0.9199491740787802,0.49539881496375027,Adipocytes_2,Immune cells,0.1733413000969948,0.024
8119,App,App,0.7322580645161291,0.2297337791340427,7.3557024,Lrp6,Lrp6,0.8320610687022901,0.4528270680342429,SMCs & Pericytes,Mesothelium,0.1722260977807229,0.137
1388,App,App,0.7364341085271318,0.23345652178986342,7.3557024,Lrp6,Lrp6,0.8225806451612904,0.4442895423131013,Neuronal-like cells,ASPC,0.17180464051958047,0.298
10378,Vegfa,Vegfa,0.8187866765848417,0.32496960412876263,7.3557024,Nrp1,Nrp1,0.7629032258064516,0.31519688200156026,Adipocytes,SMCs & Pericytes,0.17002723464719913,1.0
