,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
7456,Ntrk3,Ntrk3,1.2426087,0.5085034013605442,Ptprf,Ptprf,0.35203972,0.20610687022900764,Endothelial cells,Mesothelium,0.7973242,1.0
10388,Agt,Agt,0.38971564,0.19100752128275064,Enpep,Enpep,1.2048,0.5580645161290323,Adipocytes,SMCs & Pericytes,0.79725784,0.0
3419,Vegfb,Vegfb,0.24838637,0.14104193138500634,Nrp1,Nrp1,1.3461003,0.531578947368421,Immune cells,Adipocytes_2,0.79724336,1.0
4140,Sparc,Sparc,0.673962,0.3548387096774194,Fgfr1,Fgfr1,0.92034394,0.44614512471655327,ASPC,Endothelial cells,0.797153,0.0
5483,Slit2,Slit2,0.20983578,0.11451612903225807,App,App,1.3843783,0.6218820861678005,SMCs & Pericytes,Endothelial cells,0.79710704,0.467
7961,Il1rapl1,Il1rapl1,1.2421337,0.5348837209302325,Ptprf,Ptprf,0.35203972,0.20610687022900764,Neuronal-like cells,Mesothelium,0.7970867,0.0
11303,Farp2,Farp2,0.6255716,0.3419354838709677,Plxna2,Plxna2,0.96781033,0.47096774193548385,SMCs & Pericytes,SMCs & Pericytes,0.79669094,1.0
7341,Agt,Agt,0.9599867,0.42105263157894735,Agtr1a,Agtr1a,0.63189954,0.31297709923664124,Adipocytes_2,Mesothelium,0.79594314,0.0
3912,Vegfb,Vegfb,0.24532709,0.1435483870967742,Nrp1,Nrp1,1.3461003,0.531578947368421,SMCs & Pericytes,Adipocytes_2,0.7957137,1.0
2275,Angptl4,Angptl4,0.6666723,0.3418043202033037,Sdc4,Sdc4,0.9242288,0.45024382180345485,Immune cells,Adipocytes,0.79545057,0.198
5811,App,App,1.2620152,0.5607901479461113,Aplp2,Aplp2,0.32871437,0.1855146124523507,Adipocytes,Immune cells,0.7953648,0.997
8819,Sptan1,Sptan1,0.93826944,0.4413533834586466,Ptpra,Ptpra,0.6522625,0.34108527131782945,Adipocytes_2,Neuronal-like cells,0.795266,0.998
9512,Igf1,Igf1,0.50274277,0.24427480916030533,Insr,Insr,1.0876151,0.5038759689922481,Mesothelium,Neuronal-like cells,0.79517895,0.617
10330,Col4a2,Col4a2,0.5020133,0.26320357054302007,Itgb1,Itga1_Itgb1,1.0875745,0.5403225806451613,Adipocytes,SMCs & Pericytes,0.7947939,0.0
6126,Farp2,Farp2,0.5377113,0.2942176870748299,Plxna2,Plxna2,1.0514687,0.49174078780177893,Endothelial cells,Immune cells,0.79459,1.0
6695,Slit2,Slit2,0.37127757,0.17829457364341086,App,App,1.217771,0.5463786531130876,Neuronal-like cells,Immune cells,0.7945243,0.505
10150,Lgals1,Lgals1,0.5013926,0.27419354838709675,Itgb1,Itgb1,1.0875745,0.5403225806451613,ASPC,SMCs & Pericytes,0.79448354,0.0
480,Lamc1,Lamc1,1.3827269,0.5909774436090226,Itga9,Itga9_Itgb1,0.20595784,0.10752688172043011,Adipocytes_2,ASPC,0.7943424,0.0
7423,App,App,1.3843783,0.6218820861678005,Tnfrsf21,Tnfrsf21,0.20356652,0.11450381679389313,Endothelial cells,Mesothelium,0.79397243,0.0
8758,Lamb1,Lamb1,0.38436028,0.2,Itga1,Itga1,1.2033011,0.5658914728682171,Adipocytes_2,Neuronal-like cells,0.7938307,0.0
285,Igf1,Igf1,1.0612658,0.478494623655914,Igf2r,Igf2r,0.5262222,0.2916666666666667,ASPC,ASPC,0.793744,0.0
3087,Vegfb,Vegfb,0.24099945,0.13914373088685014,Nrp1,Nrp1,1.3461003,0.531578947368421,Adipocytes,Adipocytes_2,0.7935499,1.0
10692,Lgals1,Lgals1,0.4994388,0.2731893265565438,Itgb1,Itgb1,1.0875745,0.5403225806451613,Immune cells,SMCs & Pericytes,0.7935066,0.0
6854,Vcl,Vcl,1.2028067,0.5790322580645161,Itgb5,Itgb5,0.38406563,0.2071156289707751,SMCs & Pericytes,Immune cells,0.79343617,0.0
4984,Fgf1,Fgf1,0.66622174,0.29770992366412213,Fgfr1,Fgfr1,0.92034394,0.44614512471655327,Mesothelium,Endothelial cells,0.79328287,0.015
4179,Angpt1,Angpt1,0.8412472,0.385752688172043,Tek,Tek,0.74505323,0.37244897959183676,ASPC,Endothelial cells,0.7931502,0.0
390,App,App,1.2620152,0.5607901479461113,Aplp2,Aplp2,0.32423523,0.1868279569892473,Adipocytes,ASPC,0.7931252,0.999
8350,Col5a1,Col5a1,0.7747799,0.4018817204301075,Itgb1,Itga1_Itgb1,0.8110319,0.3953488372093023,ASPC,Neuronal-like cells,0.7929059,0.0
